Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,22:11:41.488,22:11:41.575,87,2810,0.01,1,422,165,129,128,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,257,22:11:43.230,22:11:43.423,193,81020,0.37,1,478,120,136,222,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1331.6062176165804
4,564,22:11:46.876,22:11:47.098,222,173260,0.79,2,927,141,364,422,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,2540.5405405405404
5,252,22:11:48.604,22:11:48.860,256,78993,0.36,1,704,167,369,168,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,984.375
6,362,22:11:50.784,22:11:51.028,244,113025,0.51,1,887,186,201,500,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1483.6065573770493
7,303,22:11:52.828,22:11:53.010,182,95334,0.43,1,600,219,166,215,415BBD91477BEC7D20DA51C465B20478F273300B,2074,1664.835164835165
8,275,22:11:54.289,22:11:54.456,167,86049,0.39,1,278,92,100,86,EA6393FA5F2583CC349632097567530677915183,7344,1646.7065868263471
9,211,22:11:55.594,22:11:55.712,118,66745,0.3,1,292,136,66,90,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1788.1355932203392
10,325,22:11:57.500,22:11:57.676,176,102352,0.46,1,874,344,274,256,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1846.5909090909092
11,329,22:11:59.487,22:11:59.729,242,103568,0.47,1,603,125,223,255,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1359.504132231405
12,185,22:12:00.885,22:12:01.025,140,59474,0.27,1,551,71,328,152,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,1321.4285714285713
13,317,22:12:02.444,22:12:02.658,214,99901,0.45,1,485,55,73,357,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1481.3084112149534
14,133,22:12:03.538,22:12:03.674,136,42842,0.19,1,317,138,76,103,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,977.9411764705882
15,316,22:12:05.315,22:12:05.565,250,99621,0.45,1,538,119,213,206,EA6393FA5F2583CC349632097567530677915183,7344,1264.0
16,168,22:12:06.868,22:12:07.267,399,53539,0.24,1,568,157,113,298,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,421.05263157894734
17,297,22:12:08.479,22:12:08.806,327,93862,0.43,1,433,143,78,212,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,908.256880733945
18,306,22:12:10.215,22:12:10.526,311,96599,0.44,1,578,109,75,394,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,983.9228295819936
19,61,22:12:11.167,22:12:11.472,305,20931,0.1,1,265,53,137,75,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,200.0
20,339,22:12:12.809,22:12:13.118,309,106234,0.48,1,469,0,204,265,0C7DCA39FE99C7F55965A7151316BF8FBB04AE11,687,1097.0873786407767

SUMMARY,5000,,,4.28s,,,,,,,,,,1168.77
