Timestamp,Mempool Size,Avg Mempool Wait Time,Max Mempool Wait Time
1900-01-01 01:18:19.489000,1,250,250
1900-01-01 01:18:20.488000,4,729,1249
1900-01-01 01:18:21.488000,6,1295,2250
1900-01-01 01:18:22.488000,3,631,1170
1900-01-01 01:18:23.489000,5,1106,2171
1900-01-01 01:18:24.488000,7,1588,3170
1900-01-01 01:18:25.488000,2,768,1039
1900-01-01 01:18:26.488000,2,418,644
1900-01-01 01:18:27.488000,4,1048,1644
1900-01-01 01:18:28.488000,4,801,1507
1900-01-01 01:18:29.488000,3,593,1111
1900-01-01 01:18:30.488000,2,821,1081
1900-01-01 01:18:31.488000,1,550,550
1900-01-01 01:18:32.518000,2,284,569
1900-01-01 01:18:33.488000,3,990,1539
1900-01-01 01:18:34.488000,1,412,412
1900-01-01 01:18:35.488000,1,321,321
1900-01-01 01:18:36.516000,1,150,150
1900-01-01 01:18:37.488000,2,611,1122
1900-01-01 01:18:38.489000,2,595,1100
1900-01-01 01:18:39.488000,2,583,1089
1900-01-01 01:18:40.489000,2,571,1077
1900-01-01 01:18:41.489000,1,53,53
1900-01-01 01:18:42.534000,1,80,80
1900-01-01 01:18:43.488000,2,529,1034
1900-01-01 01:18:44.499000,2,763,1035
1900-01-01 01:18:45.488000,3,1490,2023
1900-01-01 01:18:46.489000,0,0,0
1900-01-01 01:18:47.488000,0,0,0
1900-01-01 01:18:48.488000,2,644,943
1900-01-01 01:18:49.489000,2,1086,1346
1900-01-01 01:18:50.488000,1,815,815
1900-01-01 01:18:51.488000,1,802,802
1900-01-01 01:18:52.488000,1,792,792
1900-01-01 01:18:53.488000,2,1286,1791
1900-01-01 01:18:54.488000,1,770,770
1900-01-01 01:18:55.488000,2,725,981
1900-01-01 01:18:56.561000,2,265,531
1900-01-01 01:18:57.488000,3,935,1458
1900-01-01 01:18:58.488000,1,408,408
1900-01-01 01:18:59.488000,1,400,400
1900-01-01 01:19:00.488000,1,390,390
1900-01-01 01:19:01.488000,3,876,1391
1900-01-01 01:19:02.488000,2,858,1363
1900-01-01 01:19:03.488000,1,340,340
1900-01-01 01:19:04.488000,1,306,306
1900-01-01 01:19:05.557000,1,363,363
1900-01-01 01:19:06.488000,1,279,279
1900-01-01 01:19:07.488000,2,773,1278
1900-01-01 01:19:08.488000,2,762,1268
1900-01-01 01:19:09.488000,2,752,1257
1900-01-01 01:19:10.488000,1,233,233
1900-01-01 01:19:11.488000,1,218,218
1900-01-01 01:19:12.488000,1,203,203
1900-01-01 01:19:13.488000,1,191,191
1900-01-01 01:19:14.488000,2,682,1190
1900-01-01 01:19:15.488000,2,668,1173
1900-01-01 01:19:16.489000,1,89,89
1900-01-01 01:19:17.489000,2,583,1089
1900-01-01 01:19:18.488000,2,569,1076
1900-01-01 01:19:19.488000,3,554,1063
1900-01-01 01:19:20.488000,2,540,1044
1900-01-01 01:19:21.489000,1,21,21
1900-01-01 01:19:22.488000,2,511,1020
1900-01-01 01:19:23.488000,1,1002,1002
1900-01-01 01:19:24.488000,2,510,773
1900-01-01 01:19:25.488000,1,738,738
1900-01-01 01:19:26.489000,2,1234,1738
1900-01-01 01:19:27.488000,0,0,0
1900-01-01 01:19:28.488000,2,435,718
1900-01-01 01:19:29.536000,1,691,691
1900-01-01 01:19:30.488000,1,634,634
1900-01-01 01:19:31.488000,2,1128,1634
