Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,21:16:58.783,21:16:58.856,73,2802,0.01,1,404,112,105,187,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,205,21:17:00.826,21:17:01.097,271,65195,0.3,1,518,125,202,191,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,756.4575645756457
4,669,21:17:04.975,21:17:05.195,220,205771,0.93,2,858,253,417,188,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,3040.909090909091
5,395,21:17:06.561,21:17:06.910,349,121788,0.55,1,402,85,218,99,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1131.8051575931233
6,205,21:17:08.316,21:17:08.514,198,64750,0.29,1,727,114,176,437,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1035.3535353535353
7,190,21:17:09.836,21:17:09.994,158,59760,0.27,1,694,392,108,194,415BBD91477BEC7D20DA51C465B20478F273300B,2074,1202.5316455696202
8,345,21:17:11.501,21:17:11.936,435,107606,0.49,1,554,182,140,232,EA6393FA5F2583CC349632097567530677915183,7344,793.1034482758621
9,147,21:17:12.698,21:17:13.032,334,47168,0.21,1,258,154,38,66,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,440.1197604790419
10,286,21:17:14.264,21:17:14.458,194,89723,0.41,1,458,124,125,209,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1474.2268041237112
11,546,21:17:18.001,21:17:18.288,287,167450,0.76,2,941,137,408,396,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,1902.439024390244
12,228,21:17:19.299,21:17:19.586,287,71454,0.32,1,315,75,71,169,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,794.425087108014
13,268,21:17:20.684,21:17:20.942,258,83928,0.38,1,324,123,68,133,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1038.7596899224807
14,175,21:17:22.359,21:17:22.536,177,55126,0.25,1,639,102,132,405,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,988.7005649717514
