Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,21:33:55.663,21:33:55.749,86,2714,0.01,1,332,105,110,117,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,3,21:33:56.877,21:33:56.949,72,3987,0.02,1,357,132,94,131,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,41.66666666666667
4,6,21:33:59.993,21:34:00.034,41,4896,0.02,2,647,118,423,106,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,146.34146341463415
5,3,21:34:01.456,21:34:01.750,294,3981,0.02,1,617,286,110,221,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,10.204081632653061
6,4,21:34:02.942,21:34:03.023,81,4275,0.02,1,420,192,113,115,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,49.382716049382715
7,3,21:34:04.110,21:34:04.198,88,3979,0.02,1,352,118,115,119,415BBD91477BEC7D20DA51C465B20478F273300B,2074,34.09090909090909
8,3,21:34:05.419,21:34:05.457,38,3987,0.02,1,707,253,208,246,EA6393FA5F2583CC349632097567530677915183,7344,78.94736842105263
9,2,21:34:06.594,21:34:06.634,40,3668,0.02,1,341,119,111,111,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,50.0
10,1,21:34:07.789,21:34:07.837,48,3373,0.02,1,346,117,112,117,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,20.833333333333332
11,4,21:34:10.361,21:34:10.398,37,4290,0.02,2,333,118,109,106,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,108.10810810810811
12,1,21:34:11.514,21:34:11.555,41,3367,0.02,1,344,124,112,108,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,24.390243902439025
13,1,21:34:12.709,21:34:12.747,38,3373,0.02,1,349,117,128,104,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,26.315789473684212
14,1,21:34:14.041,21:34:14.127,86,3381,0.02,1,466,131,109,226,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,11.627906976744187
15,2,21:34:15.323,21:34:15.405,82,3684,0.02,1,308,1,201,106,EA6393FA5F2583CC349632097567530677915183,7344,24.390243902439025
16,1,21:34:16.670,21:34:16.753,83,3365,0.02,1,520,127,226,167,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,12.048192771084336
17,1,21:34:17.891,21:34:17.962,71,3373,0.02,1,384,160,110,114,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,14.084507042253522
18,4,21:34:21.137,21:34:21.168,31,4290,0.02,2,1001,130,662,209,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,129.03225806451613
19,1,21:34:22.289,21:34:22.324,35,3375,0.02,1,337,119,111,107,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,28.57142857142857
