Timestamp,Mempool Size,Avg Mempool Wait Time,Max Mempool Wait Time
1900-01-01 21:05:03.392000,127,294,608
1900-01-01 21:05:04.392000,300,884,1608
1900-01-01 21:05:05.393000,528,1282,2609
1900-01-01 21:05:06.392000,688,1870,3608
1900-01-01 21:05:07.392000,463,1416,2653
1900-01-01 21:05:08.392000,681,1802,3653
1900-01-01 21:05:09.398000,856,2349,4659
1900-01-01 21:05:10.393000,407,1263,2385
1900-01-01 21:05:11.394000,622,1662,3385
1900-01-01 21:05:12.392000,433,1447,2466
1900-01-01 21:05:13.393000,671,1771,3467
1900-01-01 21:05:14.392000,386,1339,2183
1900-01-01 21:05:15.393000,627,1628,3184
1900-01-01 21:05:16.613000,385,1393,2275
1900-01-01 21:05:17.398000,566,1602,3059
1900-01-01 21:05:18.393000,408,1538,2964
1900-01-01 21:05:19.394000,601,1908,3964
1900-01-01 21:05:20.393000,356,1367,2734
1900-01-01 21:05:21.525000,329,1378,2643
1900-01-01 21:05:22.393000,563,1493,3511
1900-01-01 21:05:23.393000,816,1877,4511
1900-01-01 21:05:24.392000,1056,2341,5511
1900-01-01 21:05:25.392000,1192,3017,6511
1900-01-01 21:05:26.392000,530,1956,3232
1900-01-01 21:05:27.583000,429,1803,3390
1900-01-01 21:05:28.396000,635,1896,4203
1900-01-01 21:05:29.423000,408,1596,2847
1900-01-01 21:05:30.395000,562,2015,3819
1900-01-01 21:05:31.392000,437,1382,3090
1900-01-01 21:05:32.443000,379,1279,2473
1900-01-01 21:05:33.392000,485,1860,3422
1900-01-01 21:05:34.392000,228,1413,2586
1900-01-01 21:05:35.556000,157,1370,2357
1900-01-01 21:05:36.392000,246,1556,3193
1900-01-01 21:05:37.393000,421,1737,4193
1900-01-01 21:05:38.393000,566,2176,5193
1900-01-01 21:05:39.392000,267,1305,2389
1900-01-01 21:05:40.392000,234,1359,2593
1900-01-01 21:05:41.593000,160,889,1366
1900-01-01 21:05:42.394000,291,1130,2166
1900-01-01 21:05:43.392000,224,1007,2049
1900-01-01 21:05:44.396000,196,1271,2275
1900-01-01 21:05:45.392000,341,1562,3271
1900-01-01 21:05:46.392000,202,1178,1892
1900-01-01 21:05:47.396000,286,1687,2896
1900-01-01 21:05:48.392000,258,1413,2991
1900-01-01 21:05:49.392000,141,870,1502
1900-01-01 21:05:50.393000,237,1283,2503
1900-01-01 21:05:51.392000,216,915,1914
1900-01-01 21:05:52.394000,411,1249,2915
1900-01-01 21:05:53.394000,582,1742,3916
1900-01-01 21:05:54.421000,230,1316,2028
1900-01-01 21:05:55.392000,320,1809,2999
1900-01-01 21:05:56.392000,296,1411,3170
1900-01-01 21:05:57.392000,193,901,1679
1900-01-01 21:05:58.393000,321,1390,2680
1900-01-01 21:05:59.392000,282,1251,2266
1900-01-01 21:06:00.392000,161,1025,1688
1900-01-01 21:06:01.394000,265,1440,2690
1900-01-01 21:06:02.393000,218,855,1909
1900-01-01 21:06:03.393000,421,1198,2909
1900-01-01 21:06:04.392000,565,1737,3908
1900-01-01 21:06:05.409000,611,2572,4925
1900-01-01 21:06:06.474000,192,1643,2544
1900-01-01 21:06:07.392000,186,1194,2436
1900-01-01 21:06:08.392000,273,1636,3436
1900-01-01 21:06:09.392000,299,2463,4436
1900-01-01 21:06:10.508000,109,2310,2912
1900-01-01 21:06:11.392000,113,3100,3796
1900-01-01 21:06:12.393000,125,3773,4797
1900-01-01 21:06:13.393000,150,1707,5065
1900-01-01 21:06:14.392000,237,1883,6064
1900-01-01 21:06:16.032000,125,1778,2568
1900-01-01 21:06:16.393000,130,2065,2929
1900-01-01 21:06:17.393000,169,2457,3929
1900-01-01 21:06:18.392000,203,2941,4929
1900-01-01 21:06:19.397000,314,2685,5933
1900-01-01 21:06:20.394000,186,1021,1883
1900-01-01 21:06:21.392000,124,776,1250
1900-01-01 21:06:22.392000,153,1527,2249
1900-01-01 21:06:23.392000,173,2302,3249
1900-01-01 21:06:24.392000,202,2890,4249
1900-01-01 21:06:25.392000,224,3548,5250
1900-01-01 21:06:26.394000,285,3640,6251
1900-01-01 21:06:27.392000,421,3328,7250
1900-01-01 21:06:28.395000,596,3196,8252
1900-01-01 21:06:29.393000,648,3905,9250
1900-01-01 21:06:30.393000,130,1962,2426
1900-01-01 21:06:31.393000,130,2962,3426
1900-01-01 21:06:32.392000,130,3961,4425
1900-01-01 21:06:33.393000,130,4962,5426
1900-01-01 21:06:34.392000,0,0,0
1900-01-01 21:06:35.393000,0,0,0
1900-01-01 21:06:36.392000,0,0,0
1900-01-01 21:06:37.392000,0,0,0
1900-01-01 21:06:38.392000,0,0,0
1900-01-01 21:06:39.393000,0,0,0
1900-01-01 21:06:40.393000,0,0,0
1900-01-01 21:06:41.392000,0,0,0
1900-01-01 21:06:42.392000,0,0,0
1900-01-01 21:06:43.393000,0,0,0
1900-01-01 21:06:44.392000,0,0,0
1900-01-01 21:06:45.392000,0,0,0
