Timestamp,Mempool Size,Avg Mempool Wait Time,Max Mempool Wait Time
1900-01-01 21:33:55.403000,1,75,75
1900-01-01 21:33:56.403000,4,565,1076
1900-01-01 21:33:57.403000,3,547,1055
1900-01-01 21:33:58.402000,5,1040,2054
1900-01-01 21:33:59.402000,7,1533,3055
1900-01-01 21:34:00.403000,2,758,1012
1900-01-01 21:34:01.403000,4,1250,2011
1900-01-01 21:34:02.404000,4,855,1490
1900-01-01 21:34:03.403000,3,620,961
1900-01-01 21:34:04.403000,2,684,938
1900-01-01 21:34:05.404000,4,1176,1939
1900-01-01 21:34:06.403000,2,1159,1413
1900-01-01 21:34:07.403000,1,897,897
1900-01-01 21:34:08.403000,2,635,889
1900-01-01 21:34:09.403000,3,1381,1889
1900-01-01 21:34:10.402000,0,0,0
1900-01-01 21:34:11.403000,1,856,856
1900-01-01 21:34:12.403000,1,845,845
1900-01-01 21:34:13.403000,1,837,837
1900-01-01 21:34:14.403000,1,828,828
1900-01-01 21:34:15.406000,0,0,0
1900-01-01 21:34:16.403000,1,811,811
1900-01-01 21:34:17.403000,1,801,801
1900-01-01 21:34:18.404000,1,793,793
1900-01-01 21:34:19.403000,3,952,1793
1900-01-01 21:34:20.402000,4,1655,2792
1900-01-01 21:34:21.402000,0,0,0
1900-01-01 21:34:22.404000,0,0,0
1900-01-01 21:34:23.402000,2,495,749
1900-01-01 21:34:24.403000,2,987,1241
1900-01-01 21:34:25.402000,1,723,723
1900-01-01 21:34:26.403000,1,715,715
1900-01-01 21:34:27.404000,2,1211,1716
1900-01-01 21:34:28.402000,1,699,699
1900-01-01 21:34:29.402000,2,436,690
1900-01-01 21:34:30.404000,3,1184,1691
1900-01-01 21:34:31.404000,2,406,660
1900-01-01 21:34:32.403000,1,643,643
1900-01-01 21:34:33.403000,2,1138,1643
1900-01-01 21:34:34.403000,3,1634,2643
1900-01-01 21:34:35.402000,2,361,615
1900-01-01 21:34:36.403000,1,600,600
1900-01-01 21:34:37.403000,1,591,591
1900-01-01 21:34:38.404000,2,1087,1592
1900-01-01 21:34:39.403000,1,574,574
1900-01-01 21:34:40.403000,1,566,566
1900-01-01 21:34:41.402000,1,556,556
1900-01-01 21:34:42.403000,2,1052,1557
1900-01-01 21:34:43.415000,0,0,0
1900-01-01 21:34:44.403000,1,533,533
1900-01-01 21:34:45.403000,1,523,523
1900-01-01 21:34:46.403000,1,517,517
1900-01-01 21:34:47.404000,1,509,509
1900-01-01 21:34:48.472000,1,569,569
1900-01-01 21:34:49.403000,2,995,1499
1900-01-01 21:34:50.403000,3,1490,2499
1900-01-01 21:34:51.404000,1,473,473
1900-01-01 21:34:52.403000,2,968,1472
1900-01-01 21:34:53.404000,2,960,1464
1900-01-01 21:34:54.404000,2,693,947
1900-01-01 21:34:55.403000,3,1272,1947
1900-01-01 21:34:56.403000,4,1809,2946
1900-01-01 21:34:57.403000,1,414,414
1900-01-01 21:34:58.404000,2,911,1415
1900-01-01 21:34:59.402000,3,898,1406
1900-01-01 21:35:00.403000,1,383,383
1900-01-01 21:35:01.403000,1,1383,1383
1900-01-01 21:35:02.402000,2,1375,2382
1900-01-01 21:35:03.403000,3,848,1368
1900-01-01 21:35:04.454000,1,376,376
1900-01-01 21:35:05.402000,2,820,1324
1900-01-01 21:35:06.403000,1,1316,1316
1900-01-01 21:35:07.403000,1,308,308
1900-01-01 21:35:08.403000,1,298,298
1900-01-01 21:35:09.403000,3,790,1298
1900-01-01 21:35:10.402000,4,1411,2298
1900-01-01 21:35:11.402000,1,267,267
1900-01-01 21:35:12.403000,2,505,759
1900-01-01 21:35:13.402000,0,0,0
1900-01-01 21:35:14.403000,1,243,243
1900-01-01 21:35:15.403000,2,738,1243
1900-01-01 21:35:16.403000,1,186,186
1900-01-01 21:35:17.403000,2,931,1185
1900-01-01 21:35:18.402000,1,167,167
1900-01-01 21:35:19.403000,2,663,1168
1900-01-01 21:35:20.403000,1,152,152
1900-01-01 21:35:21.403000,2,648,1152
1900-01-01 21:35:22.403000,3,1309,2151
1900-01-01 21:35:23.402000,1,123,123
1900-01-01 21:35:24.403000,0,0,0
1900-01-01 21:35:25.403000,1,78,78
1900-01-01 21:35:26.402000,2,573,1077
1900-01-01 21:35:27.403000,2,565,1069
1900-01-01 21:35:28.404000,2,557,1061
1900-01-01 21:35:29.403000,3,539,1052
1900-01-01 21:35:30.403000,1,20,20
1900-01-01 21:35:31.403000,2,516,1020
1900-01-01 21:35:32.403000,3,1012,2020
1900-01-01 21:35:33.403000,1,1004,1004
1900-01-01 21:35:34.443000,1,0,0
1900-01-01 21:35:35.403000,1,960,960
1900-01-01 21:35:36.403000,1,951,951
1900-01-01 21:35:37.403000,0,0,0
1900-01-01 21:35:38.404000,2,679,932
1900-01-01 21:35:39.403000,2,1171,1424
1900-01-01 21:35:40.403000,1,910,910
1900-01-01 21:35:41.402000,0,0,0
