Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,22:24:21.882,22:24:21.950,68,2276,0.01,1,262,89,87,86,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,159,22:24:23.665,22:24:23.963,298,51256,0.23,1,651,59,208,384,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,533.5570469798658
4,589,22:24:27.900,22:24:28.176,276,181539,0.82,2,1192,380,339,473,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,2134.0579710144925
5,315,22:24:29.375,22:24:29.947,572,98616,0.45,1,309,76,17,216,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,550.6993006993007
6,307,22:24:31.329,22:24:31.517,188,96724,0.44,1,395,74,266,55,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1632.9787234042553
7,214,22:24:33.038,22:24:33.163,125,67833,0.31,1,915,288,210,417,415BBD91477BEC7D20DA51C465B20478F273300B,2074,1712.0
8,398,22:24:34.848,22:24:35.292,444,124472,0.57,1,601,73,163,365,EA6393FA5F2583CC349632097567530677915183,7344,896.3963963963964
9,195,22:24:36.136,22:24:36.246,110,61809,0.28,1,240,119,63,58,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1772.7272727272727
10,241,22:24:37.955,22:24:38.123,168,76799,0.35,1,762,148,387,227,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1434.5238095238094
11,329,22:24:40.003,22:24:40.261,258,103022,0.47,1,665,117,332,216,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1275.1937984496124
12,173,22:24:41.567,22:24:41.710,143,55141,0.25,1,707,74,515,118,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,1209.79020979021
13,405,22:24:43.418,22:24:43.833,415,126595,0.57,1,596,67,78,451,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,975.9036144578314
14,94,22:24:44.443,22:24:44.569,126,30669,0.14,1,219,105,0,114,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,746.031746031746
15,330,22:24:46.100,22:24:46.702,602,103070,0.47,1,543,0,95,448,EA6393FA5F2583CC349632097567530677915183,7344,548.1727574750831
16,168,22:24:47.601,22:24:47.705,104,53094,0.24,1,310,67,107,136,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1615.3846153846155
17,258,22:24:49.183,22:24:49.591,408,82046,0.37,1,580,241,158,181,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,632.3529411764706
18,322,22:24:50.725,22:24:50.988,263,101447,0.46,1,296,152,53,91,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1224.3346007604562
19,70,22:24:51.933,22:24:52.027,94,23667,0.11,1,599,216,177,206,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,744.6808510638298
20,432,22:24:54.112,22:24:54.461,349,134777,0.61,1,684,169,277,238,0C7DCA39FE99C7F55965A7151316BF8FBB04AE11,687,1237.8223495702007
21,179,22:24:55.700,22:24:55.866,166,56767,0.26,1,638,83,194,361,EA6393FA5F2583CC349632097567530677915183,7344,1078.313253012048
22,236,22:24:57.321,22:24:57.471,150,74766,0.34,1,706,94,309,303,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1573.3333333333335
23,348,22:24:59.310,22:24:59.481,171,109058,0.5,1,927,395,268,264,E4F41A580F3123D42A2F2B9A50B06E7C6ABDB813,629,2035.0877192982455
24,342,22:25:01.261,22:25:01.434,173,106083,0.48,1,608,282,132,194,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1976.8786127167632
25,273,22:25:02.970,22:25:03.334,364,85688,0.39,1,735,182,188,365,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,750.0
26,359,22:25:04.669,22:25:04.840,171,112650,0.51,1,346,94,115,137,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,2099.4152046783624
27,343,22:25:06.204,22:25:06.464,260,107098,0.49,1,428,125,113,190,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1319.2307692307693
28,131,22:25:08.847,22:25:08.967,120,42150,0.19,1,1770,68,974,728,EA6393FA5F2583CC349632097567530677915183,7344,1091.6666666666667
29,432,22:25:10.170,22:25:10.415,245,133353,0.61,1,70,0,0,70,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1763.265306122449
30,921,22:25:16.732,22:25:17.209,477,281591,1.28,3,1863,96,632,1135,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1930.8176100628932
31,1332,22:25:25.251,22:25:25.691,440,405966,1.84,3,1455,1390,0,65,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,3027.2727272727275
32,1026,22:25:34.436,22:25:38.990,4554,312981,1.42,2,124,0,0,124,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,225.29644268774703
33,190,22:25:47.257,22:25:47.514,257,59940,0.27,1,6907,6674,149,84,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,739.2996108949416
34,1919,22:25:57.222,22:26:04.019,6797,583736,2.65,2,2864,0,0,2864,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,282.3304398999559
35,1852,22:26:13.262,22:26:24.977,11715,563526,2.56,3,3604,0,0,3604,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,158.08792146820315
36,400,22:26:34.289,22:26:34.933,644,123659,0.56,2,3370,0,0,3370,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,621.1180124223603
37,47,22:26:40.849,22:26:42.223,1374,16699,0.08,2,1370,0,0,1370,A7A34A501A3A6FDE7F301F7FA088AD07A4262ADC,431,34.20669577874818
38,4,22:26:42.795,22:26:43.642,847,3668,0.02,1,194,63,0,131,A7A34A501A3A6FDE7F301F7FA088AD07A4262ADC,431,4.7225501770956315
39,18,22:26:46.619,22:26:48.156,1537,7909,0.04,1,1228,77,0,1151,EA6393FA5F2583CC349632097567530677915183,7344,11.711125569290827
40,72,22:26:51.304,22:26:51.825,521,24273,0.11,2,1262,1,0,1261,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,138.19577735124759
41,12,22:26:52.558,22:26:52.667,109,6093,0.03,1,268,152,0,116,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,110.09174311926606
42,71,22:26:55.904,22:26:57.424,1520,23777,0.11,4,1593,0,0,1593,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,46.71052631578947
43,37,22:27:00.122,22:27:00.293,171,13668,0.06,3,816,0,0,816,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,216.37426900584794
44,70,22:27:00.921,22:27:00.996,75,23654,0.11,2,80,0,0,80,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,933.3333333333334
45,3,22:27:02.212,22:27:02.896,684,3349,0.02,1,495,0,0,495,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,4.385964912280701
46,2,22:27:03.908,22:27:04.563,655,3059,0.01,1,405,147,0,258,EA6393FA5F2583CC349632097567530677915183,7344,3.0534351145038165
47,15,22:27:06.697,22:27:07.070,373,7000,0.03,1,547,196,0,351,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,40.21447721179625
48,43,22:27:08.795,22:27:09.910,1115,15484,0.07,2,212,0,0,212,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,38.56502242152467
49,15,22:27:10.479,22:27:10.576,97,7002,0.03,1,167,96,0,71,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,154.63917525773195
50,37,22:27:11.456,22:27:11.595,139,13666,0.06,1,332,0,0,332,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,266.1870503597122
51,14,22:27:12.051,22:27:12.169,118,6680,0.03,1,54,0,0,54,EA6393FA5F2583CC349632097567530677915183,7344,118.64406779661017
52,135,22:27:13.307,22:27:14.579,1272,43362,0.2,4,49,0,0,49,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,106.13207547169812
53,79,22:27:18.869,22:27:20.073,1204,26396,0.12,3,1175,0,0,1175,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,65.61461794019934
54,46,22:27:20.844,22:27:22.642,1798,16396,0.07,2,95,0,0,95,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,25.583982202447164
55,69,22:27:28.479,22:27:29.826,1347,23366,0.11,1,2145,938,0,1207,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,51.224944320712694
56,34,22:27:34.013,22:27:35.904,1891,12757,0.06,1,1814,442,0,1372,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,17.97990481226864
57,41,22:27:39.663,22:27:40.625,962,14877,0.07,1,1917,195,0,1722,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,42.61954261954262
58,52,22:27:41.298,22:27:42.440,1142,18212,0.08,1,181,84,0,97,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,45.53415061295972
59,34,22:27:44.480,22:27:46.008,1528,12757,0.06,1,1265,91,0,1174,EA6393FA5F2583CC349632097567530677915183,7344,22.25130890052356
60,42,22:27:48.989,22:27:50.209,1220,15181,0.07,1,1170,98,0,1072,270AE1AAFF5D007C88903B05B34FB40BBA2D2C52,218,34.42622950819672
61,54,22:27:50.903,22:27:51.077,174,18818,0.09,1,172,121,0,51,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,310.3448275862069
62,133,22:27:52.086,22:27:53.575,1489,42756,0.19,2,290,0,0,290,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,89.3216924110141
63,6,22:27:56.402,22:27:58.757,2355,4275,0.02,1,1867,131,0,1736,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,2.5477707006369426
64,12,22:27:59.366,22:27:59.540,174,6091,0.03,1,236,114,0,122,EA6393FA5F2583CC349632097567530677915183,7344,68.96551724137932
65,11,22:28:01.227,22:28:03.013,1786,5788,0.03,1,162,0,0,162,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,6.159014557670773
66,15,22:28:06.687,22:28:07.943,1256,7000,0.03,1,725,8,0,717,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,11.94267515923567
67,40,22:28:08.775,22:28:08.908,133,14575,0.07,2,78,0,0,78,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,300.7518796992481
68,9,22:28:09.470,22:28:09.573,103,5184,0.02,1,56,0,0,56,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,87.37864077669903
69,26,22:28:11.715,22:28:12.872,1157,10333,0.05,2,1135,0,0,1135,EA6393FA5F2583CC349632097567530677915183,7344,22.47191011235955
70,11,22:28:14.899,22:28:15.804,905,5790,0.03,1,700,492,0,208,EA6393FA5F2583CC349632097567530677915183,7344,12.154696132596685
71,16,22:28:16.621,22:28:16.805,184,7286,0.03,1,234,186,0,48,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,86.95652173913044
72,9,22:28:17.512,22:28:17.683,171,5182,0.02,1,64,6,0,58,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,52.63157894736842
73,67,22:28:18.785,22:28:18.915,130,22741,0.1,2,398,0,0,398,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,515.3846153846154
74,3,22:28:19.638,22:28:20.010,372,3365,0.02,1,112,9,0,103,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,8.064516129032258
75,11,22:28:22.991,22:28:24.654,1663,5788,0.03,1,1448,180,0,1268,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,6.61455201443175
76,36,22:28:27.851,22:28:28.449,598,13363,0.06,2,614,0,0,614,EA6393FA5F2583CC349632097567530677915183,7344,60.20066889632107
77,58,22:28:29.306,22:28:29.454,148,20033,0.09,1,247,157,0,90,EA6393FA5F2583CC349632097567530677915183,7344,391.89189189189193
78,8,22:28:31.804,22:28:32.668,864,4879,0.02,1,1046,395,0,651,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,9.25925925925926
79,32,22:28:34.473,22:28:35.260,787,12151,0.06,1,959,180,0,779,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,40.66073697585769
80,10,22:28:37.762,22:28:38.444,682,5468,0.02,1,1404,117,0,1287,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,14.662756598240469
81,54,22:28:39.308,22:28:39.406,98,18818,0.09,2,62,0,0,62,EA6393FA5F2583CC349632097567530677915183,7344,551.0204081632653
82,12,22:28:40.056,22:28:40.357,301,6093,0.03,1,83,0,0,83,EA6393FA5F2583CC349632097567530677915183,7344,39.8671096345515
83,73,22:28:42.747,22:28:43.845,1098,24576,0.11,2,404,0,0,404,BFA8CBD13B9C712DA9F2F8CD90B0D3D89E7ED83E,165,66.48451730418942
84,13,22:28:45.734,22:28:46.348,614,6396,0.03,1,545,213,0,332,BFA8CBD13B9C712DA9F2F8CD90B0D3D89E7ED83E,165,21.172638436482085
85,14,22:28:47.135,22:28:47.199,64,6697,0.03,1,111,63,0,48,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,218.75
86,18,22:28:47.851,22:28:47.913,62,7909,0.04,1,43,0,0,43,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,290.3225806451613
87,5,22:28:48.599,22:28:48.678,79,3959,0.02,1,59,0,0,59,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,63.291139240506325
88,41,22:28:49.515,22:28:49.967,452,14878,0.07,1,45,0,0,45,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,90.7079646017699
89,26,22:28:52.092,22:28:52.930,838,10333,0.05,1,788,106,0,682,EA6393FA5F2583CC349632097567530677915183,7344,31.026252983293556
90,77,22:28:56.729,22:28:57.119,390,25771,0.12,3,1115,0,0,1115,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,197.43589743589743
91,61,22:28:58.009,22:28:59.630,1621,20933,0.1,2,103,0,0,103,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,37.631091918568785
92,61,22:29:02.238,22:29:03.686,1448,20942,0.1,1,1128,659,0,469,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,42.127071823204425
93,32,22:29:06.743,22:29:06.854,111,12151,0.06,1,1222,146,0,1076,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,288.2882882882883
94,14,22:29:07.633,22:29:07.760,127,6697,0.03,1,296,196,0,100,EA6393FA5F2583CC349632097567530677915183,7344,110.23622047244095
95,50,22:29:09.048,22:29:09.772,724,17603,0.08,2,386,0,0,386,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,69.06077348066299
96,60,22:29:12.693,22:29:13.801,1108,20639,0.09,1,541,160,0,381,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,54.15162454873646
97,44,22:29:14.881,22:29:14.997,116,15770,0.07,1,125,43,0,82,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,379.31034482758616
98,140,22:29:16.309,22:29:16.499,190,44877,0.2,3,53,0,0,53,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,736.8421052631579
99,20,22:29:21.557,22:29:22.962,1405,8516,0.04,2,1674,0,0,1674,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,14.234875444839858
100,22,22:29:23.673,22:29:23.868,195,9106,0.04,1,193,108,0,85,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,112.82051282051282
101,21,22:29:24.974,22:29:26.325,1351,8818,0.04,1,359,32,0,327,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,15.544041450777202
102,52,22:29:30.696,22:29:31.856,1160,18212,0.08,1,752,174,0,578,EA6393FA5F2583CC349632097567530677915183,7344,44.827586206896555
103,32,22:29:33.730,22:29:34.292,562,12151,0.06,1,115,115,0,0,E956365272376CEAE04E7DC8393D337454FFEA7C,138,56.939501779359425
104,32,22:29:34.975,22:29:35.074,99,11862,0.05,1,93,93,0,0,F07E2AD25320CB30F38ED1000490A7B0FFEB44D1,132,323.2323232323232
105,17,22:29:35.832,22:29:36.549,717,7334,0.03,1,0,0,0,0,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,23.70990237099024
106,32,22:29:38.355,22:29:39.821,1466,11862,0.05,1,41,41,0,0,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,21.828103683492497
107,8,22:29:41.019,22:29:42.114,1095,4590,0.02,1,168,168,0,0,EA6393FA5F2583CC349632097567530677915183,7344,7.305936073059361
108,18,22:29:43.126,22:29:43.244,118,7637,0.03,1,143,143,0,0,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,152.54237288135593
109,27,22:29:43.880,22:29:43.962,82,10347,0.05,1,0,0,0,0,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,329.2682926829268
110,76,22:29:44.737,22:29:44.984,247,24946,0.11,1,0,0,0,0,EA6393FA5F2583CC349632097567530677915183,7344,307.6923076923077
111,60,22:29:48.460,22:29:49.758,1298,20348,0.09,1,38,38,0,0,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,46.22496147919877
112,31,22:29:53.188,22:29:53.368,180,11576,0.05,1,95,95,0,0,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,172.22222222222223
113,16,22:29:54.052,22:29:54.237,185,7031,0.03,1,110,110,0,0,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,86.48648648648648
114,64,22:29:57.152,22:29:58.268,1116,21560,0.1,1,513,513,0,0,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,57.34767025089605
115,88,22:30:00.203,22:30:01.763,1560,28574,0.13,1,81,81,0,0,EA6393FA5F2583CC349632097567530677915183,7344,56.41025641025641
116,39,22:30:03.080,22:30:03.242,162,14000,0.06,1,98,98,0,0,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,240.74074074074073
117,19,22:30:03.980,22:30:04.564,584,7939,0.04,1,93,93,0,0,B06193CDFCDA6137376D6A38E0F199AD5F055A77,131,32.534246575342465
118,23,22:30:06.079,22:30:07.194,1115,9135,0.04,1,158,158,0,0,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,20.62780269058296
119,20,22:30:09.574,22:30:11.115,1541,8243,0.04,1,107,107,0,0,EA6393FA5F2583CC349632097567530677915183,7344,12.978585334198574
120,47,22:30:12.567,22:30:12.715,148,16425,0.07,1,100,100,0,0,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,317.5675675675676
121,0,22:30:13.381,22:30:13.444,63,2180,0.01,1,63,63,0,0,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,0.0
122,29,22:30:14.051,22:30:14.152,101,10970,0.05,1,0,0,0,0,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,287.1287128712871
123,42,22:30:14.905,22:30:15.241,336,14909,0.07,1,7,7,0,0,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,124.99999999999999
124,44,22:30:16.685,22:30:18.922,2237,15515,0.07,1,104,104,0,0,EA6393FA5F2583CC349632097567530677915183,7344,19.669199821189093
125,46,22:30:21.685,22:30:22.423,738,16104,0.07,1,113,113,0,0,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,62.330623306233065
126,53,22:30:23.212,22:30:23.386,174,18243,0.08,1,102,102,0,0,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,304.5977011494253
127,7,22:30:25.789,22:30:28.052,2263,4304,0.02,1,176,176,0,0,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,3.093239063190455
128,22,22:30:30.820,22:30:32.151,1331,8850,0.04,1,115,115,0,0,EA6393FA5F2583CC349632097567530677915183,7344,16.528925619834713
129,24,22:30:32.918,22:30:33.024,106,9457,0.04,1,95,95,0,0,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,226.41509433962264
130,40,22:30:34.792,22:30:35.890,1098,14297,0.06,1,102,102,0,0,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,36.42987249544626
