Timestamp,Mempool Size,Avg Mempool Wait Time,Max Mempool Wait Time
1900-01-01 22:20:11.157000,9,20,42
1900-01-01 22:20:12.158000,190,540,1043
1900-01-01 22:20:13.157000,422,965,2042
1900-01-01 22:20:14.198000,327,1209,1933
1900-01-01 22:20:15.157000,536,1516,2891
1900-01-01 22:20:16.157000,791,1866,3891
1900-01-01 22:20:17.159000,1030,2327,4893
1900-01-01 22:20:18.157000,1155,3019,5891
1900-01-01 22:20:19.159000,558,1938,3307
1900-01-01 22:20:20.696000,433,2033,3703
1900-01-01 22:20:21.158000,551,2007,4164
1900-01-01 22:20:22.236000,379,1758,3077
1900-01-01 22:20:23.158000,583,1907,3999
1900-01-01 22:20:24.169000,445,1445,3028
1900-01-01 22:20:25.158000,622,1907,4018
1900-01-01 22:20:26.157000,539,1570,3280
1900-01-01 22:20:27.181000,404,1480,2771
1900-01-01 22:20:28.159000,592,1837,3750
1900-01-01 22:20:29.158000,486,1736,3254
1900-01-01 22:20:30.501000,227,1177,1873
1900-01-01 22:20:31.158000,363,1267,2530
1900-01-01 22:20:32.157000,393,1431,2988
1900-01-01 22:20:33.158000,579,1841,3989
1900-01-01 22:20:34.160000,421,1266,2336
1900-01-01 22:20:35.157000,418,1302,2711
1900-01-01 22:20:36.160000,622,1737,3713
1900-01-01 22:20:37.157000,466,1468,2869
1900-01-01 22:20:38.158000,413,1458,2786
1900-01-01 22:20:39.157000,620,1826,3786
1900-01-01 22:20:40.157000,509,1475,3020
1900-01-01 22:20:41.279000,246,1092,1694
1900-01-01 22:20:42.157000,418,1345,2572
1900-01-01 22:20:43.157000,501,1406,3121
1900-01-01 22:20:44.159000,683,1920,4123
1900-01-01 22:20:45.157000,464,1408,2576
1900-01-01 22:20:46.421000,421,1755,3065
1900-01-01 22:20:47.159000,637,1772,3802
1900-01-01 22:20:48.631000,362,1528,2210
1900-01-01 22:20:49.158000,458,1684,2737
1900-01-01 22:20:50.158000,324,1652,2999
1900-01-01 22:20:51.158000,262,1259,2357
1900-01-01 22:20:52.157000,482,1451,3357
1900-01-01 22:20:53.158000,357,1172,2105
1900-01-01 22:20:54.157000,568,1577,3105
1900-01-01 22:20:55.157000,401,1253,2508
1900-01-01 22:20:56.338000,242,1056,1885
1900-01-01 22:20:57.157000,447,1204,2704
1900-01-01 22:20:58.157000,487,1468,2981
1900-01-01 22:20:59.159000,733,1816,3983
1900-01-01 22:21:00.159000,885,2418,4983
