Block Height,Validator Address,Old Voting Power,New Voting Power
105,789C1C8387EF2318A14FD9F79B7F2DBA1607DEFC,154,152
105,E0D793CF8D11B104B61903666D1659D3DC30212F,197,195
105,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,6105
105,FD04F91E4C15BA71AF347D79F35DBD2351DB94D9,404,400
105,0C7DCA39FE99C7F55965A7151316BF8FBB04AE11,687,681
105,D6D90A8F1A3C99FBB12E0A9C716B2A1172F428F6,113,112
105,E4F41A580F3123D42A2F2B9A50B06E7C6ABDB813,629,622
105,5E944AB2D7525E41275BCDCADCE5DFB5CDC88D7E,164,162
105,26071B1B972C8EA6036750896F984362760AD4EC,263,260
105,BCB30B82DBF3222AD0C9BFEDF05007E962F016A1,427,423
105,415BBD91477BEC7D20DA51C465B20478F273300B,2074,2053
105,5B701F6C6AD4CCAD2048A9F6BBEBDEEF28923DB7,115,114
105,3C634CEC80BDB80284B23A76F08A0B51A65B95E8,114,113
105,667BFA0DD60FEBF968AB22ED4DCC8CF60A3470F5,143,141
105,3CF676FF63C72F14324F311BA1D4EDD444B51031,545,539
105,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,931
