address,voting_power
270AE1AAFF5D007C88903B05B34FB40BBA2D2C52,218
789C1C8387EF2318A14FD9F79B7F2DBA1607DEFC,152
B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018
E0D793CF8D11B104B61903666D1659D3DC30212F,195
BFA8CBD13B9C712DA9F2F8CD90B0D3D89E7ED83E,165
6158DEFA4BA11C223F63F9444596188C872EAF75,6105
FD04F91E4C15BA71AF347D79F35DBD2351DB94D9,400
0C7DCA39FE99C7F55965A7151316BF8FBB04AE11,681
B06193CDFCDA6137376D6A38E0F199AD5F055A77,131
3A0AEEF4F060C65746490149E9EAB868013279FE,4374
D6D90A8F1A3C99FBB12E0A9C716B2A1172F428F6,112
F07E2AD25320CB30F38ED1000490A7B0FFEB44D1,132
0CA11F2CD8979B6B750B312702FD626D29CE9300,874
4886E7BAF0E6819F1190EC3522B02FE487A7FE27,129
E4F41A580F3123D42A2F2B9A50B06E7C6ABDB813,622
5E944AB2D7525E41275BCDCADCE5DFB5CDC88D7E,162
26071B1B972C8EA6036750896F984362760AD4EC,260
BCB30B82DBF3222AD0C9BFEDF05007E962F016A1,423
EA6393FA5F2583CC349632097567530677915183,7344
2B7E94220DD8C7AD0F1147DF12123853097DF878,4408
415BBD91477BEC7D20DA51C465B20478F273300B,2053
5B701F6C6AD4CCAD2048A9F6BBEBDEEF28923DB7,114
3C634CEC80BDB80284B23A76F08A0B51A65B95E8,113
E956365272376CEAE04E7DC8393D337454FFEA7C,138
667BFA0DD60FEBF968AB22ED4DCC8CF60A3470F5,141
826CEE1EC38CD669BEBC691B40D69F3BB8531BFC,108
3CF676FF63C72F14324F311BA1D4EDD444B51031,539
AE1FAC8E1E28185BA1F863FAECC4994DF95EEB45,129
A7A34A501A3A6FDE7F301F7FA088AD07A4262ADC,431
964A8C43B04EC695871C3A94F04CDD0F1A4BA754,124
0CB428130DA48D3CE919557181A130374AA8D8AA,6922
737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,931
